游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,最终原始关卡标签,最高原始关卡标签,最长停留原始关卡标签,是否流失,首日到最终进度差
108970922,1~7,7.0,24.0,24.0,17,24.0,1.411764705882353,,107.0,209.0,209.0,4,207,2-09,2-09,2-07,False,17.0
108970937,1~7,5.0,13.0,13.0,3,10.0,5.0,10.0,105.0,113.0,113.0,1,105,1-13,1-13,1-05,True,8.0
108971127,7~50,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108971151,7~50,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105,1-05,1-05,1-05,True,0.0
108971152,1~7,14.0,144.0,144.0,24,144.0,6.0,,114.0,1009.0,1009.0,2,712,10-09,10-09,7-12,False,130.0
108971260,100~300,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110,1-10,1-10,1-10,True,0.0
108971461,1~7,9.0,21.0,21.0,8,21.0,2.625,,109.0,206.0,206.0,2,203,2-06,2-06,2-03,False,12.0
108971475,1~7,2.0,2.0,2.0,5,2.0,0.6666666666666666,,102.0,102.0,102.0,3,102,1-02,1-02,1-02,False,0.0
108971624,300~+∞,13.0,14.0,14.0,3,14.0,4.666666666666667,14.0,113.0,114.0,114.0,2,113,1-14,1-14,1-13,True,1.0
108971759,7~50,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112,1-12,1-12,1-12,True,0.0
108971978,7~50,16.0,44.0,44.0,18,35.0,2.6923076923076925,,201.0,314.0,314.0,2,207,3-14,3-14,2-07,False,28.0
108972008,7~50,14.0,15.0,15.0,3,15.0,7.5,15.0,114.0,115.0,115.0,1,114,1-15,1-15,1-14,True,1.0
108972082,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104,1-04,1-04,1-04,True,0.0
108972240,1~7,6.0,6.0,6.0,2,6.0,3.0,6.0,106.0,106.0,106.0,2,106,1-06,1-06,1-06,True,0.0
108972295,1~7,12.0,19.0,19.0,5,19.0,3.8,19.0,112.0,204.0,204.0,4,204,2-04,2-04,2-04,True,7.0
108972297,1~7,8.0,17.0,17.0,3,17.0,5.666666666666667,17.0,108.0,202.0,202.0,1,108,2-02,2-02,1-08,True,9.0
108972372,7~50,13.0,19.0,19.0,5,19.0,3.8,19.0,113.0,204.0,204.0,4,204,2-04,2-04,2-04,True,6.0
108972535,50~100,19.0,66.0,66.0,12,66.0,5.5,,204.0,506.0,506.0,3,506,5-06,5-06,5-06,False,47.0
108972680,7~50,12.0,13.0,13.0,2,13.0,6.5,13.0,112.0,113.0,113.0,1,112,1-13,1-13,1-12,True,1.0
108972729,7~50,10.0,23.0,23.0,9,22.0,3.142857142857143,,110.0,208.0,208.0,3,207,2-08,2-08,2-07,False,13.0
108972731,1~7,6.0,6.0,6.0,2,6.0,3.0,6.0,106.0,106.0,106.0,2,106,1-06,1-06,1-06,True,0.0
108972754,1~7,7.0,13.0,13.0,3,13.0,4.333333333333333,13.0,107.0,113.0,113.0,1,107,1-13,1-13,1-07,True,6.0
108972848,1~7,8.0,8.0,8.0,1,8.0,8.0,8.0,108.0,108.0,108.0,1,108,1-08,1-08,1-08,True,0.0
108972889,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103,1-03,1-03,1-03,True,0.0
108972945,100~300,19.0,86.0,86.0,16,86.0,5.375,,204.0,611.0,611.0,2,512,6-11,6-11,5-12,False,67.0
108973018,1~7,4.0,7.0,7.0,2,4.0,4.0,7.0,104.0,107.0,107.0,1,104,1-07,1-07,1-04,True,3.0
108973025,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110,1-10,1-10,1-10,True,0.0
108973095,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102,1-02,1-02,1-02,True,0.0
108973099,100~300,18.0,94.0,94.0,24,94.0,3.9166666666666665,,203.0,704.0,704.0,3,405,7-04,7-04,4-05,False,76.0
108973214,100~300,15.0,29.0,29.0,7,24.0,6.0,24.0,115.0,214.0,214.0,2,209,2-14,2-14,2-09,True,14.0
108973255,1~7,11.0,24.0,24.0,7,24.0,4.0,24.0,111.0,209.0,209.0,2,209,2-09,2-09,2-09,True,13.0
108973280,300~+∞,10.0,140.0,140.0,22,140.0,6.363636363636363,,110.0,1005.0,1005.0,5,1005,10-05,10-05,10-05,False,130.0
108973289,7~50,8.0,9.0,9.0,3,9.0,4.5,9.0,108.0,109.0,109.0,1,108,1-09,1-09,1-08,True,1.0
108973411,100~300,4.0,11.0,11.0,6,11.0,1.8333333333333333,,104.0,111.0,111.0,4,111,1-11,1-11,1-11,False,7.0
108973481,7~50,7.0,10.0,10.0,3,8.0,4.0,10.0,107.0,110.0,110.0,1,107,1-10,1-10,1-07,True,3.0
